"id","name","ability","flavor","firstNightReminder","otherNightReminder","remindersGlobal","reminders"
"acrobat","雜技演員","每天晚上*，選擇一位玩家，如果他今晚將醉酒或中毒，則你死亡。","歡迎各位前來，觀看世上最盛大的表演！","","雜技演員選擇一位玩家，如果他今晚醉酒或中毒，則雜技演員死亡。","","死亡"
"alchemist","煉金術士","你擁有一個僕從的能力，使用此能力時，說書人可能會提示你重新選擇目標。","Visit the interior of the Earth. By rectification thou shalt find the hidden stone. Above the gold, lieth the red. Kether in Malkuth.","展示一個僕從角色代幣，將煉金術士的角色代幣換成那個角色的角色代幣，以「是煉金術士」標記他。","","是煉金術士",""
"alhadikhia","哈迪寂亞","每天晚上*，你可以選擇三位玩家(所有玩家都知道是誰)，他們各自私下選擇「活著」或 「死亡」，但是如果他們最後都活著，則他們都死亡。","*沉默是金*","","哈迪寂亞選擇三位玩家，要求玩家們沉默並且根據選擇的順序，宣布「哈迪寂亞選擇了 [第一位玩家]」，喚醒該玩家，讓他點頭表示活著，搖頭表示死亡，根據結果殺死或復活他，請該玩家閉上眼睛，然後宣布下一位玩家。完成之後如果三位玩家都活著，則三位都死亡。允許玩家們繼續交談。","","1,2,3,選擇「死亡」,選擇「活著」"
"alsaahir","戲法師","每天白天一次，如果你公開猜出哪些玩家是僕從、哪些玩家是惡魔，則善良陣營獲勝。","你在故我在，而我在故你在。","","","",""
"amnesiac","失憶者","你不知道你擁有的能力。每天白天一次，私下向說書人猜測你的能力，你得知你的猜測有多準確。","等等。什麼。誰？哦，明白。等等。什麼？","決定失憶者的真實能力，如果此能力使他在今晚醒來，喚醒失憶症玩家並且進行他的能力。","如果失憶者的能力使他在今晚醒來，喚醒他並且進行他的能力。","","?"
"angel","天使","任何需要對新玩家的死亡負最大責任的玩家可能會受到懲罰。","Let those who are without sin dare to raise their hand to my chosen, for I shall strike such fools down with the fury and righteousness of a thousand storms.","","","","保護,天罰"
"apprentice","學徒","在你的第一晚，你得到一個鎮民的能力(如果你是善良陣營)，或一個僕從的能力(如果你是邪惡陣營)。","多年來我旅行各地，研究這工藝的作法。你問是什麼？簡單來說就是一些簡單的民間工藝，不需要擔心...還不需要。","展示「你是」 卡片 + 一個鎮民或僕從的角色代幣，將學徒的角色代幣換成那個角色的角色代幣，然後以「是學徒」標記他。","","","是學徒"
"artist","藝術家","每場遊戲一次，白天時，私下問說書人任何一個是非題。","Mon Dieu! C'est lumineux! My work, she is... how you say... Magnifique! Dieu est révélé! Oui.","","","","無能力"
"assassin","刺客","每場遊戲一次，晚上時*，選擇一位玩家，該玩家死亡，無論是否有原因導致他們不能死。","","","刺客可以指向一位玩家，該玩家死亡。","","死亡,無能力"
"atheist","無神論者","說書人可以破壞遊戲規則，而如果他被處決，則善良陣營獲勝(儘管你死亡)。[沒有邪惡的角色]","Let us disperse with unnecessary conjecture and silly paranoia. There is a perfectly rational explanation for everything. Yes, a teacup may indeed be orbiting the planet, too small to see, but I shall drink my tea from the very real china in my very real hands.","","","",""
