id,name,ability,firstNightReminder,otherNightReminder,reminders,remindersGlobal
acrobat,雜技演員,每天晚上*，選擇一位玩家，如果他今晚將醉酒或中毒，則你死亡。,,雜技演員選擇一位玩家，如果他今晚醉酒或中毒，則雜技演員死亡。,死亡,
alchemist,煉金術士,你擁有一個僕從的能力，使用此能力時，說書人可能會提示你重新選擇目標。,展示一個僕從角色代幣，將煉金術士的角色代幣換成那個角色的角色代幣，以「是煉金術士」標記他。,,,是煉金術士
alhadikhia,哈迪寂亞,每天晚上*，你可以選擇三位玩家(所有玩家都知道是誰)，他們各自私下選擇「活著」或 「死亡」，但是如果他們最後都活著，則他們都死亡。,,哈迪寂亞選擇三位玩家，要求玩家們沉默並且根據選擇的順序，宣布「哈迪寂亞選擇了 [第一位玩家]」，喚醒該玩家，讓他點頭表示活著，搖頭表示死亡，根據結果殺死或復活他，請該玩家閉上眼睛，然後宣布下一位玩家。完成之後如果三位玩家都活著，則三位都死亡。允許玩家們繼續交談。,1|2|3|選擇「死亡」|選擇「活著」,
alsaahir,戲法師,每天白天一次，如果你公開猜出哪些玩家是僕從、哪些玩家是惡魔，則善良陣營獲勝。,,,,
amnesiac,失憶者,你不知道你擁有的能力。每天白天一次，私下向說書人猜測你的能力，你得知你的猜測有多準確。,決定失憶者的真實能力，如果此能力使他在今晚醒來，喚醒失憶症玩家並且進行他的能力。,如果失憶者的能力使他在今晚醒來，喚醒他並且進行他的能力。,?,
angel,天使,任何需要對新玩家的死亡負最大責任的玩家可能會受到懲罰。,,,保護|天罰,
apprentice,學徒,在你的第一晚，你得到一個鎮民的能力(如果你是善良陣營)，或一個僕從的能力(如果你是邪惡陣營)。,展示「你是」 卡片 + 一個鎮民或僕從的角色代幣，將學徒的角色代幣換成那個角色的角色代幣，然後以「是學徒」標記他。,,是學徒,
artist,藝術家,每場遊戲一次，白天時，私下問說書人任何一個是非題。,,,無能力,
assassin,刺客,每場遊戲一次，晚上時*，選擇一位玩家，該玩家死亡，無論是否有原因導致他們不能死。,,刺客可以指向一位玩家，該玩家死亡。,死亡|無能力,
atheist,無神論者,說書人可以破壞遊戲規則，而如果他被處決，則善良陣營獲勝(儘管你死亡)。[沒有邪惡的角色],,,,
balloonist,氣球駕駛員,每天晚上，你得知與昨晚不同角色類別的一位玩家。[+0 或 +1 城外人],選擇一個角色類別，指向一個為該類別的玩家，以「已得知」標記該玩家。,選擇一個旁邊還沒放置「已得知」標記的角色類別，有選擇到的話，指向一個為該類別的玩家，以「已得知」標記該玩家。,已得知(僕從)|已得知(城外人)|已得知(惡魔)|已得知(旅行者)|已得知(鎮民),
banshee,報喪女妖,如果惡魔殺死了你，所有玩家得知此事。從現在開始，你每天可以提名兩次，每次投票也可以投下兩票。,,宣布報喪女妖已死亡(如果有的話)。,具有能力,
